aceticus	1
acus	1
adaptatus	4
adhaeretor	1
albus	2
amator	2
amicus	1
arculus	3
arcus	8
aurantiacus	2
avidus	2
bacillus	152
bacter	707
bellus	2
botulus	2
bulbus	3
calculus	3
caldus	2
calyx	2
capillus	1
capsulatus	1
captor	1
carbo	1
caulis	13
causticus	1
-clasticus (clasticus)	1
coccus	240
coleus	5
consessor	1
constrictosus	1
conus	1
crinis	5
cucumis	3
culleus	1
curvus	3
cyclicus	1
cyclus	4
cylindrus	1
desulfatator	1
dialister	1
digitus	1
discus	3
elongatus	1
factor	3
fasciculus	1
-fer (fer)	2
fervidus	1
-fex (fex)	6
flexus	13
follis	2
fractor	4
frater	1
fundulus	1
fustis	4
-ger (ger)	1
gladius	1
globulus	1
globus	24
Ianus (ianus)	1
icanus	1
inquilinus	1
lancetus	1
lapillus	1
lituus	3
lobus	9
lunatus	1
lyticus	1
marinus	7
massilus	1
methylicus	1
minusculus	1
morbus	2
murus	1
natus	2
nauta	1
nauticus	1
necator	1
nexus	1
notius	1
obesus	1
obsidianus	1
orbus	1
ortus	1
ovatus	1
pannus	1
pectinatus	1
pelagicus	2
pelagius	3
penitus	1
petraeus	1
-philus (philus)	56
-phobus (phobus)	1
-phorus (phorus)	3
piger	2
piscium	1
planus	2
plicatus	1
priscus	1
proauctor	1
profundus	3
pulveratus	1
pumilus	3
pusillus	1
pyrus	1
radius	5
ramulus	2
ramus	1
reductor	2
rhopalus	1
roseus	1
rubellus	2
rubidus	1
ruptor	5
russus	2
saccus	1
salinus	4
sandaracinus	1
scipio	2
siccatus	1
sinus	7
sipho	1
socius	5
sodalis	1
solitarius	1
-sporus	2
sticca	1
stipes	5
torris	1
tortus	1
tranquillus	1
trophicus	1
truncus	3
turbo	1
tutus	3
uncus	1
varius	5
vectis	1
venator	1
vermiculus	1
vermis	1
vibrio	28
vicinus	2
vivus	1
-vorus (vorus)	1
vulcanus	1
